,index,id,attach_dist,is_attached,is_contained,is_matched,pred_num_pix,match_ids,match_overlaps,ke
0,0,39,0.7649993896484375,True,True,True,31,[17 35],[0.6904762 0.25     ],37.46818214932636
1,0,45,0.764984130859375,True,False,True,-1,[49 50],[0.42857143 0.01136364],21.5006042603748
2,0,49,3.505670939431365,False,False,True,-1,[47 48],[0.0625     0.03267974],32.311430979620916
3,0,50,0.764984130859375,True,True,True,57,[42],[0.91525424],35.056940321404035
4,0,55,0.764984130859375,True,True,True,31,[53],[0.8125],26.85661681550674
5,0,64,0.7649993896484375,True,True,True,50,[51 52],[0.8135593  0.00858369],42.91413617136126
6,1,37,0.7650146484375,True,False,True,44,[28],[0.84444445],34.88154436206216
7,1,41,0.764984130859375,True,True,True,35,[14],[0.94285715],46.493665346975206
8,2,43,0.764984130859375,True,True,True,56,[31],[0.8214286],50.734375685785345
9,2,44,0.764984130859375,True,False,True,46,[27 28],[0.7708333  0.01098901],52.222656642274885
10,2,49,0.764984130859375,True,True,True,14,[24 26],[0.73333335 0.05263158],22.618913331827557
11,2,58,0.764984130859375,True,False,True,25,[34 35],[0.85714287 0.00970874],51.05412801467175
12,3,32,0.764984130859375,True,True,True,37,[9],[0.81578946],26.840673692958536
13,3,33,0.76495361328125,True,True,True,40,[5 6],[0.88095236 0.00816326],47.28900090351576
14,3,35,0.764984130859375,True,True,True,45,[7],[0.9148936],39.919866641827106
15,3,36,0.764984130859375,True,True,True,25,[11],[0.76],24.665853609285605
16,4,39,0.764984130859375,True,False,True,25,[41 42],[0.8148148 0.0078125],41.770676036593194
17,4,61,0.764984130859375,True,True,True,52,[27],[0.8269231],41.521122746987274
18,5,39,0.764984130859375,True,True,True,8,[22],[0.625],16.15297791097738
19,5,41,1.0818940912343977,True,False,True,28,[20],[0.9655172],44.04771775475583
20,6,52,0.764984130859375,True,True,True,27,[38],[0.6785714],38.344829908825446
21,6,77,0.7650146484375,True,True,True,64,[36],[0.8695652],45.0335167524246
22,7,25,0.7650146484375,True,True,True,-1,[22 23],[0.5        0.00617284],25.8623634450298
23,8,33,1.0818509328615227,True,True,True,26,[14 15],[0.7096774  0.00784314],42.09865612299867
24,8,38,1.0818833016949811,True,True,True,-1,[5],[0.13043478],41.186715190716825
25,8,40,0.764984130859375,True,True,True,38,[6 8],[0.60465115 0.0045045 ],48.15486582245332
26,8,45,inf,False,False,True,45,[9],[0.8666667],46.78517276553512
27,9,37,0.7649993896484375,True,True,True,27,[19],[0.8214286],38.49729182178564
28,10,44,0.764984130859375,True,True,True,58,[13 14],[0.7419355  0.00611621],42.110783537112304
29,10,50,1.081872512263171,True,True,True,51,[37 38],[0.76785713 0.00146413],49.91405399453655
30,10,51,0.764984130859375,True,True,True,24,[17],[0.9166667],37.01022690618071
31,11,35,0.764984130859375,True,True,True,-1,[21],[0.3255814],21.829238063711582
32,11,49,1.081872512263171,True,True,True,30,[34],[0.8125],38.09403755846004
33,11,56,0.764984130859375,True,False,True,-1,[32],[0.48387095],28.346052939131344
34,12,31,0.7649993896484375,True,False,True,49,[31],[0.7254902],30.0737276152503
35,12,45,0.764984130859375,True,True,True,34,[33 34],[0.75609756 0.01716738],31.510887730406985
36,13,28,6.58078865613447,False,False,True,20,[26],[1.],43.007994108239664
37,13,39,1.0818940912343977,True,True,True,38,[28],[0.94736844],42.78269194452197
38,14,29,0.7649993896484375,True,True,True,73,[17 18],[0.7012987  0.00201207],38.11807133140383
39,14,32,1.0818644199371135,True,True,True,39,[15],[0.902439],41.429877756741284
40,14,35,0.764984130859375,True,True,True,35,[11 14],[0.85365856 0.00461361],41.688976633175216
41,14,36,1.7105838141162804,True,True,True,-1,[36],[0.5],28.59851087020386
42,14,37,0.764984130859375,True,True,True,87,[29 30],[0.8152174  0.00337838],52.037668322832715
43,15,39,1.0818509328615227,True,False,True,37,[23],[0.92105263],49.322763081888304
