,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
21927,7577,20,1.710570166403777,True,True,True,[35  8],[0.85714287 0.04285714],41,28.75227,37,416.33477783203125,35.53493,35.47949217030143
21928,7577,22,39.52911101342612,False,False,False,[],[],17,13.055398,-1,-1.0,16.135166,-1.0
21929,7577,24,3.9750739878128027,False,False,True,[40],[0.47058824],12,15.543057,-1,-1.0,19.209665,-1.0
21930,7578,25,1.529998779296875,True,False,True,[56 13],[0.76       0.00694444],46,27.015106,42,409.57366943359375,33.38797,50.68339283461976
21931,7578,38,0.7649993896484375,True,True,True,[41],[0.8113208],46,46.0829,50,619.0,56.95386,49.0425235990982
21932,7578,40,1.081872512263171,True,True,True,[58  8],[0.85915494 0.01069519],68,32.73294,64,661.0055541992188,40.454643,47.45700176492255
21933,7579,3,0.764984130859375,True,True,True,[55],[0.85],72,41.76391,76,711.3895263671875,51.616016,49.57246878116245
21934,7579,42,0.7649993896484375,True,False,False,[],[],7,8.178142,-1,-1.0,10.107366,-1.0
21935,7580,30,62.0027524295465,False,False,True,[66  7],[0.68 0.02],38,23.26268,46,602.3771362304688,28.750347,45.412911938694975
21936,7580,33,0.7649993896484375,True,True,True,[35],[0.8484849],60,29.910915,62,631.9896240234375,36.9669,47.19547337494754
21937,7580,35,2.4191597809580574,False,True,True,[70  0],[0.27272728 0.00392157],14,15.421547,-1,-1.0,19.05949,-1.0
21938,7580,38,0.7649993896484375,True,False,True,[38 26],[0.8181818  0.01734104],52,42.767784,48,558.015380859375,52.856705,43.82877940162839
21939,7580,40,16.916714970305208,False,True,True,[34],[0.03571429],1,0.2470577,-1,-1.0,0.30533862,-1.0
21940,7581,24,1.529998779296875,True,False,True,[53],[0.7916667],40,26.337887,46,574.3843994140625,32.550995,39.6479763528939
21941,7581,29,1.081872512263171,True,False,True,[45],[0.9240506],77,35.11228,75,667.7269897460938,43.39527,40.771772843744145
21942,7581,31,1.0818833016949811,True,True,True,[38 24],[0.9166667  0.00179856],56,34.793762,59,529.1742553710938,43.001614,38.22424281664009
21943,7583,8,0.7649993896484375,True,False,False,[],[],24,15.041494,-1,-1.0,18.589783,-1.0
21944,7583,25,7.838906614473656,False,True,True,[36],[0.84782606],44,28.379745,41,519.214599609375,35.074528,39.71756492757262
21945,7583,41,329.2292055109008,False,True,True,[40 25],[0.72727275 0.00143266],20,10.713015,18,127.78501892089844,13.240215,15.340425854566996
21946,7584,20,2.419145305223787,False,True,True,[33],[0.19354838],6,5.245329,-1,-1.0,6.4827023,-1.0
21947,7584,23,0.7649993896484375,True,True,True,[34 18],[0.9285714  0.00449438],28,26.688751,26,438.34307861328125,32.98463,32.365888338995525
21948,7584,25,1.873851928856462,True,True,True,[47  7],[0.8181818  0.00819672],42,17.479082,38,337.28753662109375,21.602398,32.42640510381903
21949,7584,27,0.7650146484375,True,True,True,[45 11],[0.875      0.00714286],38,24.909178,37,426.8359375,30.785254,31.834517361091095
21950,7584,29,1.7105974619921192,True,True,True,[36 15],[0.6212121  0.02654867],62,44.0344,45,429.4649658203125,54.42212,52.30439751397579
21951,7584,31,1.7105974619921192,True,True,True,[35],[1.],18,26.137224,18,545.3485107421875,32.302998,43.2408656895551
21952,7585,5,12.476753108898142,False,False,True,[38 29],[0.67391306 0.00675676],43,35.930283,34,525.9977416992188,44.40624,43.05340988236091
21953,7585,29,1.0818509328615227,True,False,True,[59 18],[0.671875   0.00579151],52,29.22342,55,628.7398071289062,36.117226,42.10326060567138
21954,7585,36,247.00616236347585,False,True,True,[74  5],[0.8888889  0.00243013],27,18.76547,24,311.18634033203125,23.192245,20.610347178568315
21955,7585,38,1.7105974619921192,True,True,True,[70 10],[0.8630137  0.01342282],69,41.983265,67,713.9140014648438,51.88712,49.97176281804915
21956,7585,40,1.081850933722383,True,False,False,[],[],13,16.487522,-1,-1.0,20.37693,-1.0
21957,7586,34,0.7650146484375,True,True,True,[39],[0.9268293],40,31.30883,39,533.2427978515625,38.694584,48.62865884469532
21958,7586,36,1.3250001913569027,True,True,True,[42],[0.9347826],43,28.832256,46,554.240234375,35.633785,35.90722967112393
21959,7586,38,222.63864657812726,False,True,True,[65  0],[0.9285714  0.00131926],14,12.826871,13,218.43646240234375,15.852731,15.512366281798542
21960,7587,7,39.61780963647357,False,False,True,[45],[0.75757575],33,28.275854,25,350.2949523925781,34.94613,37.18493968232749
21961,7587,13,inf,False,True,True,[42],[0.59090906],13,12.443099,22,655.9950561523438,15.378427,46.325915527967624
21962,7587,20,1.3250001920597876,True,True,True,[49 15],[0.8181818  0.00520833],21,21.761068,19,387.61773681640625,26.894505,38.12157261880744
21963,7587,39,0.764984130859375,True,True,True,[54],[0.84615386],24,23.579338,24,436.31768798828125,29.141705,47.217535344269805
21964,7587,41,187.88811754456498,False,True,True,[52 11],[0.76086956 0.01084011],41,28.775377,40,541.8566284179688,35.56349,33.641356239679574
21965,7588,21,5.876088942714384,False,False,True,[66  0],[0.75       0.00862069],33,16.061642,30,257.19140625,19.850584,49.38027644850092
21966,7588,23,0.764984130859375,True,True,True,[56],[0.9111111],43,25.44129,43,489.9163818359375,31.442892,29.6172276823743
21967,7588,25,0.764984130859375,True,False,True,[62],[0.8518519],51,32.403404,49,511.93182373046875,40.047367,35.84605170289068
21968,7589,4,1.081842841234915,True,True,True,[41 15],[0.8153846  0.00251889],58,28.664265,60,578.857666015625,35.426167,36.10349237850414
21969,7589,11,1.081850933722383,True,True,True,[57  4],[0.8181818 0.0273224],43,38.497345,37,432.55438232421875,47.57887,30.023180787048027
21970,7589,35,1.0818940912343977,True,False,True,[23 22],[0.8367347  0.01086957],46,28.833832,44,492.4918518066406,35.635735,39.67906107075192
21971,7589,37,82.43204852096842,False,True,True,[61],[1.],15,15.283999,15,271.5666198730469,18.889496,31.18492209774216
21972,7589,39,1.5300140380859375,True,False,True,[60  2],[0.87234044 0.01754386],45,37.681286,43,576.8203125,46.5703,46.60327320561458
21973,7589,41,0.7650146484375,True,True,True,[40 16],[0.6956522 0.0530303],23,17.50223,16,123.78644561767578,21.631006,21.803601872039142
21974,7590,21,1.873870617011172,True,True,True,[56 12],[0.34375 0.025  ],18,15.1557865,-1,-1.0,18.731037,-1.0
21975,7590,26,1.0818940912343977,True,True,True,[7],[0.05769231],3,3.1219993,-1,-1.0,3.858479,-1.0
21976,7590,28,1.0818940912343977,True,True,True,[58],[0.8974359],35,28.024414,39,574.5641479492188,34.635376,39.41411205231799
21977,7590,30,0.7650146484375,True,True,True,[55 14],[0.6857143  0.04761905],34,30.896244,25,307.68377685546875,38.18467,44.76417488567977
21978,7591,15,1.081872512263171,True,True,True,[36 17],[0.969697   0.00529101],33,31.126802,32,588.948486328125,38.469616,45.967420121854836
21979,7591,25,21.310432398921876,False,False,True,[51],[0.7714286],28,14.9724045,34,370.09039306640625,18.504395,35.569014462648745
21980,7591,27,inf,False,True,True,[37 16],[0.7777778 0.0245098],51,40.920387,45,686.82763671875,50.57351,45.648871383578424
21981,7591,35,2.295013427734375,False,True,True,[50],[0.85714287],18,16.94683,21,265.57952880859375,20.94459,29.363140450446885
21982,7591,37,inf,False,True,True,[39],[0.23913044],14,5.7917,-1,-1.0,7.1579623,-1.0
21983,7591,38,0.7650146484375,True,True,True,[39],[0.3181818],15,16.24892,-1,-1.0,20.08204,-1.0
21984,7592,23,1.7105838141162804,True,True,True,[64  0],[0.79310346 0.00093545],25,25.094143,27,514.6115112304688,31.013853,34.29330587296716
21985,7594,15,0.764984130859375,True,True,True,[28 13],[0.74285716 0.01675978],34,29.543137,27,391.8990173339844,36.512363,26.181720187384446
21986,7595,54,1.081872512263171,True,True,True,[69],[0.9375],31,24.304611,31,464.8247375488281,30.03807,27.16403251272955
21987,7595,56,1.529998779296875,True,True,True,[74 16],[0.9137931  0.00806452],54,27.851635,57,561.2861328125,34.421837,35.274436693347795
21988,7595,58,1.7105974619921192,True,True,True,[47],[0.84615386],37,25.662775,35,430.3904113769531,31.716625,40.42898233620471
21989,7596,5,1.081850933722383,True,True,True,[30],[0.6666667],10,16.285534,15,288.1968688964844,20.127293,16.808153060634048
21990,7596,15,0.7650146484375,True,True,True,[29],[0.86538464],47,30.899473,50,566.968017578125,38.18866,34.7755153096054
21991,7596,27,0.7649993896484375,True,True,True,[28 18],[0.7307692  0.02247191],47,31.310484,43,530.3458862304688,38.69663,43.670070697598085
21992,7596,29,1.7105974619921192,True,True,True,[27],[0.962963],27,34.257984,26,564.0486450195312,42.339443,35.870647298848105
21993,7596,31,207.9984293069378,False,False,True,[41  9],[0.74418604 0.0045045 ],36,29.41481,39,462.07537841796875,36.353764,47.459841259134684
21994,7596,33,290.3716812256958,False,False,True,[8],[0.01335878],7,8.686055,-1,-1.0,10.735096,-1.0
21995,7597,32,2.1637666033899623,False,False,True,[14],[0.00791557],5,3.5112276,-1,-1.0,4.339526,-1.0
21996,7597,34,0.764984130859375,True,False,True,[0],[0.0056926],10,14.383519,-1,-1.0,17.776592,-1.0
21997,7597,36,1.325009001198595,True,False,True,[55  3],[0.77272725 0.02380952],21,19.813353,18,335.0445556640625,24.487324,41.96999728304628
21998,7598,38,1.081872512263171,True,True,True,[38 25],[0.9655172  0.00892857],29,27.90527,28,550.470458984375,34.488125,36.627293691623414
21999,7598,40,199.8422517850118,False,True,True,[76  0],[0.89361703 0.00178253],45,27.661877,44,512.0769653320312,34.187313,38.14930413528992
