,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
353,139,29,1.0818725120479602,True,False,False,[],[],44,32.760754,-1,-1,40.489017,-1
354,139,75,0.764984130859375,True,False,False,[],[],38,21.473183,-1,-1,26.538708,-1
355,139,77,5.409340981225533,False,False,False,[],[],13,11.05444,-1,-1,13.662182,-1
356,139,81,0.7650146484375,True,True,False,[],[],35,20.272358,-1,-1,25.054607,-1
357,140,1,1.081850933722383,True,True,False,[],[],25,18.466003,-1,-1,22.822134,-1
358,140,36,0.7649993896484375,True,True,False,[],[],64,36.532036,-1,-1,45.149944,-1
359,140,51,0.76495361328125,True,False,False,[],[],28,15.086832,-1,-1,18.645817,-1
360,141,21,3.2456067465685963,False,True,False,[],[],12,6.9135623,-1,-1,8.544472,-1
361,141,52,1.530029296875,True,False,False,[],[],15,14.84836,-1,-1,18.35109,-1
362,141,54,0.764984130859375,True,True,False,[],[],21,21.429356,-1,-1,26.48454,-1
363,142,26,1.530029296875,True,True,False,[],[],43,27.485987,-1,-1,33.969933,-1
364,142,51,0.764984130859375,True,False,False,[],[],18,12.432837,-1,-1,15.365744,-1
365,142,53,0.7650146484375,True,False,False,[],[],24,7.8723946,-1,-1,9.729493,-1
366,143,8,0.7649993896484375,True,False,False,[],[],72,59.7591,-1,-1,73.85628,-1
367,143,15,0.7649993896484375,True,True,False,[],[],80,53.251152,-1,-1,65.8131,-1
368,143,36,0.764984130859375,True,False,False,[],[],5,2.1046984,-1,-1,2.6011968,-1
369,144,42,inf,False,True,False,[],[],13,10.436217,-1,-1,12.898122,-1
370,144,57,1.081850933722383,True,False,False,[],[],48,22.281488,-1,-1,27.537693,-1
371,144,59,0.764984130859375,True,True,False,[],[],5,2.2589364,-1,-1,2.7918196,-1
372,144,62,1.0818293538903043,True,True,False,[],[],24,24.783075,-1,-1,30.629404,-1
373,145,52,0.7650146484375,True,False,False,[],[],11,5.4044576,-1,-1,6.6793694,-1
374,145,53,0.764984130859375,True,False,False,[],[],8,3.34724,-1,-1,4.136854,-1
375,145,55,6.756312404876119,False,True,False,[],[],1,1.1329199,-1,-1,1.4001758,-1
376,146,30,inf,False,False,False,[],[],16,13.190927,-1,-1,16.302668,-1
377,146,36,0.764984130859375,True,True,False,[],[],4,1.3186096,-1,-1,1.6296697,-1
378,146,38,3.154176987888229,False,False,False,[],[],27,15.2953,-1,-1,18.903461,-1
379,147,53,1.0818077744886474,True,False,False,[],[],42,24.55878,-1,-1,30.352198,-1
380,147,55,0.764984130859375,True,False,False,[],[],28,16.030794,-1,-1,19.81246,-1
381,147,57,0.764984130859375,True,True,False,[],[],1,0.4220462,-1,-1,0.5216069,-1
382,148,40,0.7650146484375,True,True,False,[],[],35,20.825079,-1,-1,25.737717,-1
383,148,42,1.0818940912343977,True,True,False,[],[],49,29.25198,-1,-1,36.152523,-1
384,149,10,1.52996826171875,True,True,False,[],[],26,14.831406,-1,-1,18.330135,-1
385,149,16,0.7649993896484375,True,True,False,[],[],56,33.472717,-1,-1,41.368935,-1
386,149,25,inf,False,True,False,[],[],50,27.248999,-1,-1,33.67704,-1
387,149,31,0.7649993896484375,True,False,False,[],[],47,30.561178,-1,-1,37.77056,-1
388,150,46,1.0818509328615227,True,False,False,[],[],35,16.94469,-1,-1,20.941944,-1
389,150,48,0.7650146484375,True,False,False,[],[],11,5.5266104,-1,-1,6.830338,-1
390,151,65,0.764984130859375,True,True,False,[],[],67,24.288837,-1,-1,30.018576,-1
391,151,67,0.764984130859375,True,False,False,[],[],3,2.7231386,-1,-1,3.3655272,-1
392,152,62,11.702298302048662,False,True,False,[],[],34,28.09025,-1,-1,34.71674,-1
393,152,64,1.7106179338058773,True,True,False,[],[],29,15.189318,-1,-1,18.772478,-1
394,152,66,0.7650146484375,True,False,False,[],[],2,0.8448499,-1,-1,1.04415,-1
395,152,68,1.7105974619921192,True,True,False,[],[],1,0.36502817,-1,-1,0.45113835,-1
396,153,63,inf,False,True,False,[],[],75,62.964962,-1,-1,77.8184,-1
397,154,21,0.7650146484375,True,True,False,[],[],38,23.037594,-1,-1,28.472164,-1
398,154,41,1.52996826171875,True,True,False,[],[],29,34.656826,-1,-1,42.832375,-1
399,154,59,0.7650146484375,True,True,False,[],[],24,22.96497,-1,-1,28.382406,-1
400,154,61,0.7650146484375,True,True,False,[],[],49,24.956211,-1,-1,30.843382,-1
401,154,63,1.081872512263171,True,False,False,[],[],48,18.54648,-1,-1,22.921597,-1
402,155,8,0.764984130859375,True,True,False,[],[],51,29.12217,-1,-1,35.992092,-1
403,155,27,0.7649993896484375,True,True,False,[],[],46,42.01345,-1,-1,51.924427,-1
404,155,34,0.764984130859375,True,False,False,[],[],20,17.995829,-1,-1,22.241045,-1
